channel,t_statistic,significant
E1,-0.26837539961982215,False
E2,-0.683551731432713,False
E3,-0.8671513045920648,False
E4,-0.7594443299601688,False
E5,0.2952362262737621,False
E6,0.2014166106401478,False
E7,0.5494471949260827,False
E8,0.7131659191505212,False
E9,0.1918770121169478,False
E10,-1.5723577364681862,False
E11,-0.10702401582960556,False
E12,2.1563607377920593,False
E13,-1.8466203394448448,False
E14,0.22428974264977874,False
E15,3.184445716038529,False
E16,0.42906577514888355,False
E17,1.03496247861476,False
E18,-0.740146993937681,False
E19,-0.2100021391542977,False
E20,-0.45926964844742574,False
E21,1.7290530065675676,False
E22,0.7703866382913963,False
E23,-0.5459489031351157,False
E24,-1.1039681434616022,False
E25,-1.2710017304595032,False
E26,0.08238719250344965,False
E27,-0.3945305535065015,False
E28,-0.845839933239527,False
E29,-0.14371540354246776,False
E30,0.9202438272270846,False
E31,-1.3395689426058244,False
E32,0.1945389940300713,False
E33,0.22468129945701545,False
E34,-0.622018300351031,False
E35,0.17316479663011425,False
E36,0.44284796400091675,False
E37,1.4831449754200627,False
E38,0.49459294481008764,False
E39,-1.2215764182424245,False
E40,0.9759700015477863,False
E41,0.7431450837718293,False
E42,-1.2854291715372868,False
E43,0.09972370941348102,False
E44,0.6585215989565248,False
E45,0.04118611141888801,False
E46,-0.9423014315684457,False
E47,-1.884895211578919,False
E48,0.1444467690636373,False
E49,-2.044648935351205,False
E50,1.2472150664764878,False
E51,-0.34511778391739256,False
E52,-0.20245435913238918,False
E53,-0.12802308856068392,False
E54,0.010670106352999132,False
E55,-1.3647718055550566,False
E56,0.6760799102003969,False
E57,0.43478942370801227,False
E58,0.17695765414264897,False
E59,-1.888977756555794,False
E60,-0.3843923432720498,False
E61,-0.3270492560286842,False
E62,-0.7354195062768465,False
E63,1.1398138207424142,False
E64,0.8759020094009281,False
E65,0.6851969398216569,False
E66,-0.4861361036486673,False
E67,-0.6135881924764063,False
E68,1.4030537919203274,False
E69,-0.5265661660266343,False
E70,0.14866478012289863,False
E71,-0.8540378918236323,False
E72,0.8940601918500216,False
E73,-0.6887516377341858,False
E74,-0.3439167869140918,False
E75,-0.43862301479246685,False
E76,-0.37476671174000326,False
E77,0.5818621375293005,False
E78,-0.7196883408137768,False
E79,-0.7682370588936281,False
E80,-1.6641475946279318,False
E81,-0.3974851877670831,False
E82,-0.6222597610307788,False
E83,-1.6424341677212755,False
E84,-1.9491577176009443,False
E85,-0.20757593019659476,False
E86,-0.36734856462787285,False
E87,1.3423970008412949,False
E88,-0.3220672418579645,False
E89,-1.652447733946879,False
E90,1.7176019055663632,False
E91,-1.3823294929049101,False
E92,-0.5116697195649434,False
E93,-1.1256071883831067,False
E94,-0.5376084533655401,False
E95,-1.6297619992936374,False
E96,0.4440905851221541,False
E97,0.3258856912118646,False
E98,0.21598266063919175,False
E99,-0.24653444753833353,False
E100,-0.37372182423994293,False
E101,0.05999513345938741,False
E102,0.4832767692921391,False
E103,0.4062564689134004,False
E104,0.26551734585457043,False
E105,-0.23825363828938767,False
E106,-0.013610037364539787,False
E107,-0.4775758805491127,False
E108,0.04131693016067639,False
E109,-0.9224762151894318,False
E110,0.5157161373121036,False
